ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  2975 | eps 0.10 | return   168.81 | HO   4.36 | HOF 17.72 | SE  2.41 | loss 0.0134 |   9622s
ep  3000 | eps 0.10 | return   167.82 | HO   4.40 | HOF 17.66 | SE  2.41 | loss 0.0131 |   9701s
ep  3025 | eps 0.10 | return   167.16 | HO   4.34 | HOF 17.85 | SE  2.41 | loss 0.0129 |   9781s
ep  3050 | eps 0.10 | return   168.03 | HO   4.21 | HOF 17.92 | SE  2.41 | loss 0.0130 |   9860s
ep  3075 | eps 0.10 | return   168.74 | HO   4.19 | HOF 17.87 | SE  2.41 | loss 0.0127 |   9940s
ep  3100 | eps 0.10 | return   168.84 | HO   4.36 | HOF 17.66 | SE  2.41 | loss 0.0128 |  10019s
ep  3125 | eps 0.10 | return   170.11 | HO   4.24 | HOF 17.70 | SE  2.41 | loss 0.0127 |  10099s
ep  3150 | eps 0.10 | return   168.45 | HO   4.30 | HOF 17.69 | SE  2.41 | loss 0.0125 |  10179s
ep  3175 | eps 0.10 | return   168.08 | HO   4.24 | HOF 17.81 | SE  2.41 | loss 0.0126 |  10257s
ep  3200 | eps 0.10 | return   166.41 | HO   4.27 | HOF 17.99 | SE  2.41 | loss 0.0124 |  10337s
ep  3225 | eps 0.10 | return   170.18 | HO   4.24 | HOF 17.71 | SE  2.41 | loss 0.0122 |  10417s
ep  3250 | eps 0.10 | return   167.43 | HO   4.22 | HOF 17.97 | SE  2.41 | loss 0.0122 |  10497s
ep  3275 | eps 0.10 | return   169.67 | HO   4.42 | HOF 17.49 | SE  2.41 | loss 0.0123 |  10576s
ep  3300 | eps 0.10 | return   168.35 | HO   4.39 | HOF 17.79 | SE  2.41 | loss 0.0121 |  10656s
ep  3325 | eps 0.10 | return   167.82 | HO   4.23 | HOF 17.80 | SE  2.41 | loss 0.0120 |  10736s
ep  3350 | eps 0.10 | return   167.87 | HO   4.31 | HOF 17.74 | SE  2.41 | loss 0.0119 |  10816s
ep  3375 | eps 0.10 | return   168.13 | HO   4.35 | HOF 17.65 | SE  2.41 | loss 0.0121 |  10896s
ep  3400 | eps 0.10 | return   167.95 | HO   4.38 | HOF 17.94 | SE  2.41 | loss 0.0121 |  10975s
ep  3425 | eps 0.10 | return   169.51 | HO   4.34 | HOF 17.59 | SE  2.41 | loss 0.0121 |  11055s
ep  3450 | eps 0.10 | return   169.23 | HO   4.31 | HOF 17.70 | SE  2.41 | loss 0.0116 |  11135s
